"AU"	"TI"	"PY"	"DI"	"UT"
"Burnett, S; Bird, G; Moll, J; Frith, C; Blakemore, SJ"	"Development during Adolescence of the Neural Processing of Social Emotion"	"2009"	"10.1162/jocn.2009.21121"	"WOS:000270740200008"
"Sugiura, M; Wakusawa, K; Sekiguchi, A; Sassa, Y; Jeong, H; Horie, K; Sato, S; Kawashima, R"	"Extraction of Situational Meaning by Integrating Multiple Meanings in a Complex Environment: A Functional MRI Study"	"2009"	"10.1002/hbm.20699"	"WOS:000268698700029"
"Wenke, D; Waszak, F; Haggard, P"	"Action selection and action awareness"	"2009"	"10.1007/s00426-009-0240-4"	"WOS:000266927400013"
"Coricelli, G; Nagel, R"	"Neural correlates of depth of strategic reasoning in medial prefrontal cortex"	"2009"	"10.1073/pnas.0807721106"	"WOS:000266817500013"
"Fraiman, D; Fraiman, R"	"An ANOVA approach for statistical comparisons of brain networks"	"2018"	"10.1038/s41598-018-23152-5"	"WOS:000427589100023"
"Kuehn, E; Chen, XL; Geise, P; Oltmer, J; Wolbers, T"	"Social targets improve body-based and environment-based strategies during spatial navigation"	"2018"	"10.1007/s00221-018-5169-7"	"WOS:000426061300011"
"Arioli, M; Perani, D; Cappa, S; Proverbio, AM; Zani, A; Falini, A; Canessa, N"	"Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems"	"2018"	"10.1002/hbm.23930"	"WOS:000424804400027"
"Santangelo, V"	"Large-Scale Brain Networks Supporting Divided Attention across Spatial Locations and Sensory Modalities"	"2018"	"10.3389/fnint.2018.00008"	"WOS:000426190700001"
"Wei, CL; Zheng, L; Che, LP; Cheng, XM; Li, L; Guo, XY"	"Social Support Modulates Neural Responses to Unfairness in the Ultimatum Game"	"2018"	"10.3389/fpsyg.2018.00182"	"WOS:000425541700001"
"Wu, CT; Fan, YT; Du, YR; Yang, TT; Liu, HL; Yen, NS; Chen, SH; Hsung, RM"	"How Do Acquired Political Identities Influence Our Neural Processing toward Others within the Context of a Trust Game?"	"2018"	"10.3389/fnhum.2018.00023"	"WOS:000424006500001"
"Friedman, JP; Jack, AI"	"What Makes You So Sure? Dogmatism, Fundamentalism, Analytic Thinking, Perspective Taking and Moral Concern in the Religious and Nonreligious"	"2018"	"10.1007/s10943-017-0433-x"	"WOS:000419917100014"
"Hellrung, L; Dietrich, A; Hollmann, M; Pleger, B; Kalberlah, C; Roggenhofer, E; Villringer, A; Horstmann, A"	"Intermittent compared to continuous real-time fMRI neurofeedback boosts control over amygdala activation"	"2018"	"10.1016/j.neuroimage.2017.10.031"	"WOS:000418716800017"
"Pan, W; Gao, XM; Shi, S; Liu, FQ; Li, C"	"Spontaneous Brain Activity Did Not Show the Effect of Violent Video Games on Aggression: A Resting-State fMRI Study"	"2018"	"10.3389/fpsyg.2017.02219"	"WOS:000419921600001"
"Stevens, FL; Abernethy, AD"	"Neuroscience and Racism: The Power of Groups for Overcoming Implicit Bias"	"2018"	"10.1080/00207284.2017.1315583"	"WOS:000443989500006"
"King, ML"	"A Social Constructivism Decision-Making Approach to Managing Incidental Findings in Neuroimaging Research"	"2018"	"10.1080/10508422.2017.1306445"	"WOS:000432243300005"
"Beyer, F; Sidarus, N; Fleming, S; Haggard, P"	"Losing Control in Social Situations: How the Presence of Others Affects Neural Processes Related to Sense of Agency"	"2018"	"10.1523/ENEURO.0336-17.2018"	"WOS:000429409900038"
"Liu, Y; Zang, XL; Chen, LH; Assumpcao, L; Li, H"	"Vicariously touching products through observing others' hand actions increases purchasing intention, and the effect of visual perspective in this process: An fMRI study"	"2018"	"10.1002/hbm.23845"	"WOS:000417282000022"
"Kogler, L; Seidel, EM; Metzler, H; Thaler, H; Boubela, RN; Pruessner, JC; Kryspin-Exner, I; Gur, RC; Windischberger, C; Moser, E; Habel, U; Derntl, B"	"Impact of self-esteem and sex on stress reactions"	"2017"	"10.1038/s41598-017-17485-w"	"WOS:000417463500009"
"Haas, IJ; Baker, MN; Gonzalez, FJ"	"Who Can Deviate from the Party Line? Political Ideology Moderates Evaluation of Incongruent Policy Positions in Insula and Anterior Cingulate Cortex"	"2017"	"10.1007/s11211-017-0295-0"	"WOS:000415969300004"
"Luo, Q; Ma, YN; Bhatt, MA; Montague, PR; Feng, JF"	"The Functional Architecture of the Brain Underlies Strategic Deception in Impression Management"	"2017"	"10.3389/fnhum.2017.00513"	"WOS:000414317200001"
"Braams, BR; Crone, EA"	"Longitudinal Changes in Social Brain Development: Processing Outcomes for Friend and Self"	"2017"	"10.1111/cdev.12665"	"WOS:000414642100016"
"Zhao, LB; Chen, CH; Shao, LY; Wang, YP; Xiao, XQ; Chen, CS; Yang, JF; Zevin, J; Xue, G"	"Orthographic and Phonological Representations in the Fusiform Cortex"	"2017"	"10.1093/cercor/bhw300"	"WOS:000413209200012"
"Zhuang, JY; Ji, XQ; Zhao, ZY; Fan, MX; Li, NP"	"The neural basis of human female mate copying: An empathy-based social learning process"	"2017"	"10.1016/j.evolhumbehay.2017.05.006"	"WOS:000413800100011"
"Sun, P; Ling, XL; Zheng, L; Chen, J; Li, L; Liu, ZY; Cheng, XM; Guo, XY"	"Modulation of financial deprivation on deception and its neural correlates"	"2017"	"10.1007/s00221-017-5052-y"	"WOS:000413441500004"
"Flagan, T; Mumford, JA; Beer, JS"	"How Do You See Me? The Neural Basis of Motivated Meta-perception"	"2017"	"10.1162/jocn_a_01169"	"WOS:000412179200009"
"Repple, J; Pawliczek, CM; Voss, B; Siegel, S; Schneider, F; Kohn, N; Habel, U"	"From provocation to aggression: the neural network"	"2017"	"10.1186/s12868-017-0390-z"	"WOS:000413223700001"
"Cross, ES; Hamilton, AFD; Cohen, NR; Grafton, ST"	"Learning to tie the knot: The acquisition of functional object representations by physical and observational experience"	"2017"	"10.1371/journal.pone.0185044"	"WOS:000412845100013"
"Hou, X; Allen, TA; Wei, DT; Huang, H; Wang, KC; DeYoung, CG; Qiu, J"	"Trait compassion is associated with the neural substrate of empathy"	"2017"	"10.3758/s13415-017-0529-5"	"WOS:000411571500008"
"Twomey, T; Waters, D; Price, CJ; Evans, S; MacSweeney, M"	"How Auditory Experience Differentially Influences the Function of Left and Right Superior Temporal Cortices"	"2017"	"10.1523/JNEUROSCI.0846-17.2017"	"WOS:000411878500020"
"Tamm, S; Nilsonne, G; Schwarz, J; Lamm, C; Kecklund, G; Petrovic, P; Fischer, H; Akerstedt, T; Lekander, M"	"The effect of sleep restriction on empathy for pain: An fMRI study in younger and older adults"	"2017"	"10.1038/s41598-017-12098-9"	"WOS:000411648500010"
"Wende, KC; Thiel, C; Sommer, J; Paulus, FM; Krach, S; Jansen, A"	"Mechanisms of hemispheric lateralization: A replication study"	"2017"	"10.1016/j.cortex.2017.04.013"	"WOS:000411548300017"
"Heinzel, S; Lorenz, RC; Duong, QL; Rapp, MA; Deserno, L"	"Prefrontal-parietal effective connectivity during working memory in older adults"	"2017"	"10.1016/j.neurobiolaging.2017.05.005"	"WOS:000406296500004"
"Braboszcz, C; Brandao-Farinelli, E; Vuilleumier, P"	"Hypnotic analgesia reduces brain responses to pain seen in others"	"2017"	"10.1038/s41598-017-10310-4"	"WOS:000408538100020"
"Cacioppo, S; Juan, E; Monteleone, G"	"Predicting Intentions of a Familiar Significant Other Beyond the Mirror Neuron System"	"2017"	"10.3389/fnbeh.2017.00155"	"WOS:000409032200001"
"Qu, J; Qian, L; Chen, CS; Xue, G; Li, HL; Xie, P; Mei, LL"	"Neural Pattern Similarity in the Left IFG and Fusiform Is Associated with Novel Word Learning"	"2017"	"10.3389/fnhum.2017.00424"	"WOS:000408096100001"
"Vanderwal, T; Eilbott, J; Finn, ES; Craddock, RC; Turnbull, A; Castellanos, FX"	"Individual differences in functional connectivity during naturalistic viewing conditions"	"2017"	"10.1016/j.neuroimage.2017.06.027"	"WOS:000410539800043"
"Yan, K; Hricko, J"	"Brain networks, structural realism, and local approaches to the scientific realism debate"	"2017"	"10.1016/j.shpsc.2017.05.001"	"WOS:000416416700001"
"Soch, J; Deserno, L; Assmann, A; Barman, A; Walter, H; Richardson-Klavehn, A; Schott, BH"	"Inhibition of Information Flow to the Default Mode Network During Self-Reference Versus Reference to Others"	"2017"	"10.1093/cercor/bhw206"	"WOS:000405495200005"
"Zhan, JY; Jiang, XM; Politzer-Ahles, S; Zhou, XL"	"Neural correlates of fine-grained meaning distinctions: An fMRI investigation of scalar quantifiers"	"2017"	"10.1002/hbm.23633"	"WOS:000404963900007"
"Feng, WS; Wu, Y; Jan, C; Yu, HB; Jiang, XM; Zhou, XL"	"Effects of contextual relevance on pragmatic inference during conversation: An fMRI study"	"2017"	"10.1016/j.bandl.2017.04.005"	"WOS:000404320900006"
"Milton, F; Wills, AJ; Hodgson, TL"	"The neural basis of overall similarity and single-dimension sorting"	"2009"	"10.1016/j.neuroimage.2009.01.043"	"WOS:000265723800034"
"Lieberman, MD; Berkman, ET; Wager, TD"	"Correlations in Social Neuroscience Aren't Voodoo: Commentary on Vul et al. (2009)"	"2009"	"10.1111/j.1745-6924.2009.01128.x"	"WOS:000266031300009"
"Schultz, J; Pilz, KS"	"Natural facial motion enhances cortical responses to faces"	"2009"	"10.1007/s00221-009-1721-9"	"WOS:000264854900013"
"Davis, MH; Di Betta, AM; Macdonald, MJE; Gaskell, MG"	"Learning and Consolidation of Novel Spoken Words"	"2009"	"10.1162/jocn.2009.21059"	"WOS:000264359700015"
"Assaf, M; Kahn, I; Pearlson, GD; Johnson, MR; Yeshurun, Y; Calhoun, VD; Hendler, T"	"Brain Activity Dissociates Mentalization from Motivation During an Interpersonal Competitive Game"	"2009"	"10.1007/s11682-008-9047-y"	"WOS:000271090500003"
"Fullam, RS; Mckie, S; Dolan, MC"	"Psychopathic traits and deception: functional magnetic resonance imaging study"	"2009"	"10.1192/bjp.bp.108.053199"	"WOS:000264387100007"
"Burnett, S; Blakemore, SJ"	"Functional connectivity during a social emotion task in adolescents and in adults"	"2009"	"10.1111/j.1460-9568.2009.06674.x"	"WOS:000264065500021"
"Mitchell, JP; Ames, DL; Jenkins, AC; Banaji, MR"	"Neural Correlates of Stereotype Application"	"2009"	"10.1162/jocn.2009.21033"	"WOS:000264023100014"
"Northoff, G; Schneider, F; Rotte, M; Matthiae, C; Tempelmann, C; Wiebking, C; Bermpohl, F; Heinzel, A; Danos, P; Heinze, HJ; Bogerts, B; Walter, M; Panksepp, J"	"Differential Parametric Modulation of Self-Relatedness and Emotions in Different Brain Regions"	"2009"	"10.1002/hbm.20510"	"WOS:000263232800003"
"Meunier, D; Achard, S; Morcom, A; Bullmore, ET"	"Age-related changes in modular organization of human brain functional networks"	"2009"	"10.1016/j.neuroimage.2008.09.062"	"WOS:000262301500012"
"Kato, J; Ide, H; Kabashima, I; Kadota, H; Takano, K; Kansaku, K"	"Neural correlates of attitude change following positive and negative advertisements"	"2009"	"10.3389/neuro.08.006.2009"	"WOS:000208031500006"
"Platek, SM; Krill, AL; Wilson, B"	"Implicit trustworthiness ratings of self-resembling faces activate brain centers involved in reward"	"2009"	"10.1016/j.neuropsychologia.2008.07.018"	"WOS:000262614100033"
"Koelsch, S"	"A Neuroscientific Perspective on Music Therapy"	"2009"	"10.1111/j.1749-6632.2009.04592.x"	"WOS:000269652300058"
"Singer, T; Lamm, C"	"The Social Neuroscience of Empathy"	"2009"	"10.1111/j.1749-6632.2009.04418.x"	"WOS:000265827700005"
