"AU"	"TI"	"PY"	"DI"	"UT"
"Rudorf, S; Hare, TA"	"Interactions between Dorsolateral and Ventromedial Prefrontal Cortex Underlie Context-Dependent Stimulus Valuation in Goal-Directed Choice"	"2014"	"10.1523/JNEUROSCI.3192-14.2014"	"WOS:000345923600016"
"Farrell, AM; Goh, JO; White, BJ"	"The Effect of Performance-Based Incentive Contracts on System 1 and System 2 Processing in Affective Decision Contexts: fMRI and Behavioral Evidence"	"2014"	"10.2308/accr-50852"	"WOS:000346323800003"
"Woo, CW; Koban, L; Kross, E; Lindquist, MA; Banich, MT; Ruzic, L; Andrews-Hanna, JR; Wager, TD"	"Separate neural representations for physical pain and social rejection"	"2014"	"10.1038/ncomms6380"	"WOS:000345624800001"
"Lahnakoski, JM; Glerean, E; Jaaskelainen, IP; Hyona, J; Hari, R; Sams, M; Nummenmaa, L"	"Synchronous brain activity across individuals underlies shared psychological perspectives"	"2014"	"10.1016/j.neuroimage.2014.06.022"	"WOS:000344235800027"
"Lindebaum, D; Jordan, PJ"	"A critique on neuroscientific methodologies in organizational behavior and management studies"	"2014"	"10.1002/job.1940"	"WOS:000345411300002"
"Simon, D; Becker, MPI; Mothes-Lasch, M; Miltner, WHR; Straube, T"	"Effects of social context on feedback-related activity in the human ventral striatum"	"2014"	"10.1016/j.neuroimage.2014.05.071"	"WOS:000339860000001"
"Gray, JC; Amlung, MT; Acker, J; Sweet, LH; Brown, CL; MacKillop, J"	"Clarifying the neural basis for incentive salience of tobacco cues in smokers"	"2014"	"10.1016/j.pscychresns.2014.06.003"	"WOS:000340985400006"
"Ramos, RT"	"The concepts of representation and information in explanatory theories of human behavior"	"2014"	"10.3389/fpsyg.2014.01034"	"WOS:000341859200001"
"Harris, LT; Lee, VK; Capestany, BH; Cohen, AO"	"Assigning Economic Value to People Results in Dehumanization Brain Response"	"2014"	"10.1037/npe0000020"	"WOS:000348720400002"
"Treadway, MT; Buckholtz, JW; Martin, JW; Jan, K; Asplund, CL; Ginther, MR; Jones, OD; Marois, R"	"Corticolimbic gating of emotion-driven punishment"	"2014"	"10.1038/nn.3781"	"WOS:000341125400022"
"Otto, B; Misra, S; Prasad, A; McRae, K"	"Functional overlap of top-down emotion regulation and generation: An fMRI study identifying common neural substrates between cognitive reappraisal and cognitively generated emotions"	"2014"	"10.3758/s13415-013-0240-0"	"WOS:000340471500004"
"Sperduti, M; Guionnet, S; Fossati, P; Nadel, J"	"Mirror Neuron System and Mentalizing System connect during online social interaction"	"2014"	"10.1007/s10339-014-0600-x"	"WOS:000346038100008"
