UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000336435500010	"Lelieveld, GJ; Moor, BG; Crone, EA; Karremans, JC; van Beest, I"	A Penny for Your Pain? The Financial Compensation of Social Pain After Exclusion	2013	10.1177/1948550612446661	3								
WOS:000361464000025	"Lucas, MV; Anderson, LC; Bolling, DZ; Pelphrey, KA; Kaiser, MD"	Dissociating the Neural Correlates of Experiencing and Imagining Affective Touch	2015	10.1093/cercor/bhu061	1								
WOS:000277749000007	"Regenbogen, C; Herrmann, M; Fehr, T"	"The neural processing of voluntary completed, real and virtual violent and nonviolent computer game scenarios displaying predefined actions in gamers and nongamers"	2010	10.1080/17470910903315989	1								
WOS:000345616600001	"Welborn, BL; Lieberman, MD"	Person-specific Theory of Mind in Medial pFC	2015	10.1162/jocn_a_00700	1								
WOS:000429357800001	"Wallmark, Z; Deblieck, C; Iacoboni, M"	Neurophysiological Effects of Trait Empathy in Music Listening	2018	10.3389/fnbeh.2018.00066	2								
WOS:000330829200062	"Strang, S; Utikal, V; Fischbacher, U; Weber, B; Falk, A"	Neural Correlates of Receiving an Apology and Active Forgiveness: An fMRI Study	2014	10.1371/journal.pone.0087654	2								
WOS:000423981700014	"Domenech, P; Redoute, J; Koechlin, E; Dreher, JC"	The Neuro-Computational Architecture of Value-Based Selection in the Human Brain	2018	10.1093/cercor/bhw396	1								
WOS:000440966600003	"Lin, N; Wang, XY; Xu, YW; Wang, XS; Hua, HM; Zhao, Y; Li, XS"	Fine Subdivisions of the Semantic Network Supporting Social and Sensory-Motor Semantic Processing	2018	10.1093/cercor/bhx148	1								
WOS:000378969800002	"Fearnbach, SN; English, LK; Lasschuijt, M; Wilson, SJ; Savage, JS; Fisher, JO; Rolls, BJ; Keller, KL"	Brain response to images of food varying in energy density is associated with body composition in 7-to 10-year-old children: Results of an exploratory study	2016	10.1016/j.physbeh.2016.03.007	1								
WOS:000450543800051	"Mineroff, Z; Blank, IA; Mahowald, K; Fedorenko, E"	"A robust dissociation among the language, multiple demand, and default mode networks: Evidence from inter-region correlations in effect size"	2018	10.1016/j.neuropsychologia.2018.09.011	1								
