UT,Label,Period,tcs,mcs,mncs,mnjs,tncs,pp_top_perc,pp_uncited,prop_self_cits,int_cov
000395098000010,WOS:000395098000010,2000-2018,2,2,61%,61%,61%,0%,0%,60%,100%
000395098000011,WOS:000395098000011,2000-2018,2,2,61%,55%,61%,0%,0%,50%,90%
000395098000012,WOS:000395098000012,2000-2018,1,1,31%,55%,31%,0%,0%,0%,84%
000395121100005,WOS:000395121100005,2000-2018,3,3,47%,49%,47%,0%,0%,25%,88%
000395121100010,WOS:000395121100010,2000-2018,6,6,183%,61%,183%,0%,0%,14%,92%
000395125800004,WOS:000395125800004,2000-2018,2,2,67%,67%,67%,0%,0%,0%,95%
000395125800005,WOS:000395125800005,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,100%
000395216900006,WOS:000395216900006,2000-2018,3,3,65%,64%,65%,0%,0%,50%,98%
000395216900017,WOS:000395216900017,2000-2018,4,4,77%,58%,77%,0%,0%,33%,95%
000395216900018,WOS:000395216900018,2000-2018,1,1,21%,56%,21%,0%,0%,80%,83%
000395471400024,WOS:000395471400024,2000-2018,5,5,108%,108%,108%,0%,0%,29%,83%
000395479300001,WOS:000395479300001,2000-2018,2,2,31%,40%,31%,0%,0%,50%,98%
000395479300002,WOS:000395479300002,2000-2018,2,2,31%,40%,31%,0%,0%,0%,97%
000395479300003,WOS:000395479300003,2000-2018,2,2,48%,24%,48%,0%,0%,33%,94%
000395479300004,WOS:000395479300004,2000-2018,0,0,0%,14%,0%,0%,100%,NULL,92%
000395479300005,WOS:000395479300005,2000-2018,2,2,24%,14%,24%,0%,0%,33%,90%
000395479300006,WOS:000395479300006,2000-2018,5,5,73%,82%,73%,0%,0%,38%,93%
000395479300007,WOS:000395479300007,2000-2018,4,4,142%,142%,142%,0%,0%,20%,95%
000395479300008,WOS:000395479300008,2000-2018,4,4,85%,43%,85%,0%,0%,33%,93%
000395479300009,WOS:000395479300009,2000-2018,1,1,16%,60%,16%,0%,0%,0%,95%
000395479300010,WOS:000395479300010,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,95%
000395479300011,WOS:000395479300011,2000-2018,5,5,113%,113%,113%,0%,0%,29%,95%
000395479300012,WOS:000395479300012,2000-2018,8,8,127%,60%,127%,0%,0%,0%,83%
000395558800002,WOS:000395558800002,2000-2018,10,10,115%,83%,115%,0%,0%,0%,95%
000395634800001,WOS:000395634800001,2000-2018,8,8,244%,127%,244%,68%,0%,0%,83%
000395790100021,WOS:000395790100021,2000-2018,5,5,188%,188%,188%,0%,0%,17%,93%
000395958900006,WOS:000395958900006,2000-2018,9,9,192%,70%,192%,0%,0%,36%,83%
000395958900007,WOS:000395958900007,2000-2018,8,8,170%,70%,170%,0%,0%,20%,91%
000396032000001,WOS:000396032000001,2000-2018,9,9,103%,99%,103%,0%,0%,18%,91%
000396032000010,WOS:000396032000010,2000-2018,16,16,250%,65%,250%,100%,0%,27%,91%
000396032000013,WOS:000396032000013,2000-2018,3,3,115%,76%,115%,0%,0%,63%,92%
000396032000026,WOS:000396032000026,2000-2018,2,2,43%,72%,43%,0%,0%,0%,96%
000396032000034,WOS:000396032000034,2000-2018,8,8,226%,120%,226%,39%,0%,20%,94%
000396032000036,WOS:000396032000036,2000-2018,13,13,149%,99%,149%,0%,0%,43%,98%
000396032900010,WOS:000396032900010,2000-2018,27,27,309%,99%,309%,100%,0%,4%,91%
000396032900014,WOS:000396032900014,2000-2018,9,9,154%,75%,154%,0%,0%,0%,92%
000396032900029,WOS:000396032900029,2000-2018,2,2,51%,61%,51%,0%,0%,50%,88%
000396044200001,WOS:000396044200001,2000-2018,20,20,366%,366%,366%,100%,0%,17%,95%
000396087900005,WOS:000396087900005,2000-2018,0,0,0%,62%,0%,0%,100%,100%,87%
000396094200042,WOS:000396094200042,2000-2018,17,17,266%,119%,266%,100%,0%,32%,67%
000396097000001,WOS:000396097000001,2000-2018,1,1,11%,6%,11%,0%,0%,0%,96%
000396097600001,WOS:000396097600001,2000-2018,2,2,54%,81%,54%,0%,0%,33%,100%
000396171400001,WOS:000396171400001,2000-2018,6,6,167%,95%,167%,0%,0%,25%,86%
000396211400049,WOS:000396211400049,2000-2018,1,1,23%,53%,23%,0%,0%,67%,87%
000396303600011,WOS:000396303600011,2000-2018,8,8,185%,120%,185%,0%,0%,38%,98%
000396357600020,WOS:000396357600020,2000-2018,6,6,162%,162%,162%,0%,0%,14%,90%
000396368500003,WOS:000396368500003,2000-2018,6,6,110%,110%,110%,0%,0%,0%,85%
000396368500016,WOS:000396368500016,2000-2018,0,0,0%,126%,0%,0%,100%,100%,85%
000396412000006,WOS:000396412000006,2000-2018,8,8,125%,196%,125%,0%,0%,33%,95%
000396449900006,WOS:000396449900006,2000-2018,15,15,310%,196%,310%,100%,0%,29%,92%
000396451500001,WOS:000396451500001,2000-2018,4,4,77%,110%,77%,0%,0%,43%,95%
000396451500005,WOS:000396451500005,2000-2018,10,10,115%,132%,115%,0%,0%,41%,94%
000396452900002,WOS:000396452900002,2000-2018,11,11,126%,132%,126%,0%,0%,39%,95%
000396453800005,WOS:000396453800005,2000-2018,1,1,16%,86%,16%,0%,0%,67%,90%
000396504400001,WOS:000396504400001,2000-2018,100,100,2130%,194%,2130%,100%,0%,13%,85%
000396504400002,WOS:000396504400002,2000-2018,27,27,575%,194%,575%,100%,0%,4%,70%
000396504400005,WOS:000396504400005,2000-2018,9,9,273%,223%,273%,100%,0%,18%,89%
000396504400006,WOS:000396504400006,2000-2018,8,8,245%,92%,245%,93%,0%,27%,96%
000396504400007,WOS:000396504400007,2000-2018,7,7,346%,346%,346%,100%,0%,30%,84%
000396504400008,WOS:000396504400008,2000-2018,2,2,45%,45%,45%,0%,0%,0%,91%
000396504400009,WOS:000396504400009,2000-2018,6,6,94%,80%,94%,0%,0%,25%,91%
000396504400010,WOS:000396504400010,2000-2018,4,4,108%,130%,108%,0%,0%,33%,96%
000396504400011,WOS:000396504400011,2000-2018,8,8,125%,80%,125%,0%,0%,38%,99%
000396504400012,WOS:000396504400012,2000-2018,6,6,243%,243%,243%,56%,0%,0%,93%
000396504400013,WOS:000396504400013,2000-2018,2,2,31%,80%,31%,0%,0%,33%,95%
000396504400014,WOS:000396504400014,2000-2018,11,11,265%,93%,265%,100%,0%,15%,87%
000396504400015,WOS:000396504400015,2000-2018,8,8,205%,145%,205%,0%,0%,33%,97%
000396504400016,WOS:000396504400016,2000-2018,14,14,425%,223%,425%,100%,0%,0%,96%
000396585000001,WOS:000396585000001,2000-2018,3,3,47%,40%,47%,0%,0%,25%,100%
000396585000002,WOS:000396585000002,2000-2018,1,1,15%,15%,15%,0%,0%,0%,98%
000396585000003,WOS:000396585000003,2000-2018,0,0,0%,14%,0%,0%,100%,100%,93%
000396585000004,WOS:000396585000004,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,97%
000396585000005,WOS:000396585000005,2000-2018,4,4,65%,23%,65%,0%,0%,20%,96%
000396585000006,WOS:000396585000006,2000-2018,12,12,175%,82%,175%,0%,0%,20%,98%
000396585000007,WOS:000396585000007,2000-2018,5,5,67%,86%,67%,0%,0%,29%,93%
000396585000008,WOS:000396585000008,2000-2018,0,0,0%,43%,0%,0%,100%,100%,91%
000396662200015,WOS:000396662200015,2000-2018,22,22,765%,417%,765%,100%,0%,19%,89%
000396674500001,WOS:000396674500001,2000-2018,3,3,55%,79%,55%,0%,0%,50%,93%
000396803100017,WOS:000396803100017,2000-2018,38,38,435%,169%,435%,100%,0%,10%,79%
000396847900021,WOS:000396847900021,2000-2018,9,9,344%,394%,344%,100%,0%,25%,80%
000396854800001,WOS:000396854800001,2000-2018,21,21,253%,234%,253%,100%,0%,22%,75%
000396858600001,WOS:000396858600001,2000-2018,13,13,218%,79%,218%,0%,0%,0%,98%
000396947700013,WOS:000396947700013,2000-2018,6,6,128%,163%,128%,0%,0%,54%,86%
000396971000001,WOS:000396971000001,2000-2018,4,4,89%,183%,89%,0%,0%,0%,94%
000397007800001,WOS:000397007800001,2000-2018,2,2,23%,54%,23%,0%,0%,33%,86%
000397011700008,WOS:000397011700008,2000-2018,14,14,682%,682%,682%,100%,0%,30%,91%
000397015500005,WOS:000397015500005,2000-2018,8,8,148%,158%,148%,0%,0%,27%,96%
000397064800045,WOS:000397064800045,2000-2018,4,4,121%,121%,121%,0%,0%,20%,96%
000397064800062,WOS:000397064800062,2000-2018,17,17,855%,687%,855%,100%,0%,19%,96%
000397240600015,WOS:000397240600015,2000-2018,7,7,58%,69%,58%,0%,0%,13%,92%
000397257600002,WOS:000397257600002,2000-2018,18,18,330%,369%,330%,100%,0%,14%,97%
000397257600012,WOS:000397257600012,2000-2018,10,10,115%,163%,115%,0%,0%,66%,96%
000397257600028,WOS:000397257600028,2000-2018,14,14,338%,181%,338%,100%,0%,18%,100%
000397257600034,WOS:000397257600034,2000-2018,0,0,0%,0%,0%,0%,100%,100%,95%
000397257600042,WOS:000397257600042,2000-2018,6,6,192%,192%,192%,0%,0%,40%,86%
000397257600050,WOS:000397257600050,2000-2018,1,1,22%,208%,22%,0%,0%,50%,92%
000397267900021,WOS:000397267900021,2000-2018,0,0,0%,0%,0%,0%,100%,100%,90%
000397311400001,WOS:000397311400001,2000-2018,12,12,241%,241%,241%,94%,0%,25%,97%
000397311400002,WOS:000397311400002,2000-2018,5,5,64%,81%,64%,0%,0%,50%,86%
000397311400003,WOS:000397311400003,2000-2018,8,8,56%,93%,56%,0%,0%,11%,96%
000397311400004,WOS:000397311400004,2000-2018,23,23,162%,93%,162%,0%,0%,8%,96%
000397311400005,WOS:000397311400005,2000-2018,1,1,7%,7%,7%,0%,0%,50%,88%
000397311400006,WOS:000397311400006,2000-2018,5,5,64%,84%,64%,0%,0%,50%,94%
000397311400007,WOS:000397311400007,2000-2018,17,17,141%,88%,141%,0%,0%,6%,98%
000397311400008,WOS:000397311400008,2000-2018,1,1,13%,81%,13%,0%,0%,0%,91%
000397311400009,WOS:000397311400009,2000-2018,4,4,51%,81%,51%,0%,0%,33%,91%
000397311400010,WOS:000397311400010,2000-2018,9,9,202%,202%,202%,0%,0%,10%,88%
000397311400011,WOS:000397311400011,2000-2018,5,5,140%,196%,140%,0%,0%,0%,92%
000397311400012,WOS:000397311400012,2000-2018,2,2,26%,81%,26%,0%,0%,0%,98%
000397311400013,WOS:000397311400013,2000-2018,2,2,34%,83%,34%,0%,0%,75%,85%
